Country,RE or Non-RE,Group Technology,Technology,Sub-Technology,Producer Type,Year,Electricity Generation (GWh),Electricity Installed Capacity (MW)
Brazil,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2021,86957.267,17095.48
Brazil,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2022,42110.198,18246.76
Brazil,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,On-grid electricity,2023,,18567.621
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,All types,2002,,
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,All types,2009,,
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,All types,2010,,
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,All types,2011,,
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2000,15245.24,2085.419
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2001,15903.813,2047.128
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2002,13520.093,3040.428
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2003,10835.175,3708.625
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2004,12339.083,3482.213
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2005,11737.39,3571.38
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2006,12396.899,3779.469
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2007,13297.88,3894.608
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2008,17460.723,4118.839
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2009,14419.226,4669.927
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2010,15718.151,7007.243
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2011,14184.79,7726.439
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2012,21118.202,7951.365
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2013,28041.014,8526.652
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2014,37026.838,8585.209
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2015,30501.267,9145.413
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2016,16014.506,9278.444
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2017,16526.13,10574
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2018,13316.925,8876.48
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2019,11438.748,9120.757
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2020,12025.973,9398.056
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2021,20245.751,9400.377
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2022,10139.353,8707.804
Brazil,Total Non-Renewable,Fossil fuels,Oil,Oil,On-grid electricity,2023,,8177.395
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,All types,2008,,
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,All types,2009,,
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,All types,2010,,
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,All types,2011,,
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,All types,2012,,
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,All types,2015,,
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,All types,2016,,
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,All types,2017,,
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,All types,2019,,
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,All types,2020,,
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2000,6046,1966
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2001,14279,1966
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2002,13836,2007
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2003,13358,2007
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2004,11611,2007
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2005,9855,2007
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2006,13754.1,2007
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2007,12349.76,2007
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2008,13968.58,2007
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2009,12957,2007
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2010,14523.156,2007
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2011,15659.376,2007
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2012,16038.4,2007
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2013,15449.69,1990
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2014,15378.462,1990
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2015,14734.153,1990
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2016,15864.344,1990
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2017,15739.196,1990
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2018,15673.887,1990
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2019,16128.824,1990
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2020,14052.598,1990
Brazil,Total Non-Renewable,Nuclear,Nuclear,Nuclear,On-grid electricity,2021,14704.588,1990
